         1920208 function calls (1889728 primitive calls) in 2.762 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.004    0.000    0.038    0.001 __init__.py:851(_rc_params_in_file)
     6666    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
      637    0.004    0.000    0.048    0.000 typing.py:753(Union)
       42    0.004    0.000    0.005    0.000 {built-in method _imp.exec_dynamic}
     1337    0.004    0.000    0.020    0.000 inspect.py:959(getsourcefile)
     1079    0.004    0.000    0.220    0.000 <frozen importlib._bootstrap_external>:1518(_get_spec)
       99    0.004    0.000    0.353    0.004 artist.py:159(_update_set_signature_and_docstring)
     1015    0.004    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1210(get_data)
  355/353    0.004    0.000    0.066    0.000 inspect.py:1000(getmodule)
     4695    0.004    0.000    0.005    0.000 {built-in method builtins.sorted}
     2030    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
 1908/246    0.004    0.000    0.007    0.000 <frozen abc>:121(__subclasscheck__)
     4492    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:82(remove)
      215    0.003    0.000    0.074    0.000 dataclasses.py:470(add_fns_to_class)
     2810    0.003    0.000    0.007    0.000 typing.py:1358(__getattr__)
 1908/246    0.003    0.000    0.007    0.000 {built-in method _abc._abc_subclasscheck}
     1835    0.003    0.000    0.005    0.000 inspect.py:764(unwrap)
     8126    0.003    0.000    0.004    0.000 _parser.py:167(__getitem__)
       99    0.003    0.000    0.024    0.000 enum.py:489(__new__)
      591    0.003    0.000    0.008    0.000 dataclasses.py:768(_get_field)
     2257    0.003    0.000    0.006    0.000 {built-in method builtins.max}
3801/3631    0.003    0.000    0.004    0.000 {method 'update' of 'dict' objects}
      774    0.003    0.000    0.071    0.000 _pytree.py:967(tree_map_)
     2205    0.003    0.000    0.011    0.000 typing.py:1719(__getitem__)
     9903    0.003    0.000    0.003    0.000 {built-in method _imp.acquire_lock}
     5854    0.003    0.000    0.005    0.000 __init__.py:447(_make)
     7001    0.003    0.000    0.003    0.000 {method 'rpartition' of 'str' objects}
     1506    0.003    0.000    0.017    0.000 typing.py:1307(__init__)
     7980    0.003    0.000    0.003    0.000 {method 'add' of 'set' objects}
      972    0.003    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
     8702    0.003    0.000    0.003    0.000 enum.py:1145(__new__)
     3045    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
       86    0.003    0.000    0.004    0.000 {built-in method _io.open}
12771/12026    0.003    0.000    0.003    0.000 {built-in method builtins.hash}
     2258    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
      129    0.003    0.000    0.003    0.000 function.py:329(__init__)
     9348    0.003    0.000    0.003    0.000 {method '__exit__' of '_thread.RLock' objects}
 1064/974    0.003    0.000    0.585    0.001 <frozen importlib._bootstrap>:806(module_from_spec)
     9208    0.002    0.000    0.002    0.000 {method 'isidentifier' of 'str' objects}
      962    0.002    0.000    0.036    0.000 _ops.py:1009(__init__)
       20    0.002    0.000    0.006    0.000 enum.py:1738(convert_class)
        1    0.002    0.002    0.012    0.012 _config_module.py:81(get_assignments_with_compile_ignored_comments)
     4364    0.002    0.000    0.162    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     1057    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1615(_get_spec)
       44    0.002    0.000    0.011    0.000 typing.py:2993(__new__)
      637    0.002    0.000    0.007    0.000 typing.py:379(_remove_dups_flatten)
      937    0.002    0.000    0.013    0.000 traceback.py:341(_set_lines)
     8134    0.002    0.000    0.003    0.000 _ops.py:723(__hash__)
     8976    0.002    0.000    0.002    0.000 {method '__contains__' of 'frozenset' objects}
   2463/3    0.002    0.000    0.003    0.001 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     4492    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:173(__exit__)
     8449    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
 1388/468    0.002    0.000    0.003    0.000 _parser.py:177(getwidth)
     1015    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:693(_classify_pyc)
     1057    0.002    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:638(_get_cached)
       26    0.002    0.000    0.006    0.000 inspect.py:1210(getblock)
     5786    0.002    0.000    0.003    0.000 _parser.py:260(get)
     7307    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     9903    0.002    0.000    0.002    0.000 {built-in method _imp.release_lock}
     4747    0.002    0.000    0.002    0.000 {method 'get' of 'mappingproxy' objects}
      554    0.002    0.000    0.004    0.000 typing.py:1809(__hash__)
     2132    0.002    0.000    0.002    0.000 functools.py:66(wraps)
      215    0.002    0.000    0.005    0.000 dataclasses.py:610(_init_fn)
     5581    0.002    0.000    0.003    0.000 inspect.py:3057(<genexpr>)
     3223    0.002    0.000    0.026    0.000 _ops.py:1017(<genexpr>)
     1548    0.002    0.000    0.088    0.000 inspect.py:3338(signature)
      208    0.002    0.000    0.003    0.000 _compiler.py:241(_optimize_charset)
      815    0.002    0.000    0.005    0.000 enum.py:1048(_add_member_)
      777    0.002    0.000    0.003    0.000 dataclasses.py:437(add_fn)
     9003    0.002    0.000    0.002    0.000 {built-in method _thread.get_ident}
        7    0.002    0.000    0.003    0.000 _builtins.py:154(register_all)
     4329    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     1375    0.002    0.000    0.004    0.000 inspect.py:919(getfile)
      249    0.002    0.000    0.011    0.000 inspect.py:3283(format)
     2679    0.002    0.000    0.003    0.000 cbook.py:405(_strip_comment)
       67    0.002    0.000    0.002    0.000 colors.py:1102(reversed)
      774    0.002    0.000    0.005    0.000 __init__.py:68(_convert_out_params)
     3562    0.002    0.000    0.008    0.000 {built-in method _abc._abc_instancecheck}
     5823    0.002    0.000    0.003    0.000 typing.py:1437(__eq__)
     7127    0.002    0.000    0.002    0.000 _parser.py:239(__next)
     1126    0.002    0.000    0.027    0.000 _ops.py:1247(_get_packet)
     1015    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:726(_validate_timestamp_pyc)
     1298    0.002    0.000    0.002    0.000 enum.py:818(__setattr__)
     1548    0.002    0.000    0.086    0.000 inspect.py:3062(from_callable)
     1761    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
     3473    0.002    0.000    0.008    0.000 typing.py:164(_type_convert)
  500/241    0.002    0.000    0.028    0.000 _parser.py:451(_parse_sub)
       34    0.002    0.000    0.003    0.000 ipaddress.py:2292(__init__)
     1015    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1229(path_stats)
     1082    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:445(cb)
     4835    0.002    0.000    0.002    0.000 inspect.py:302(isclass)
     4060    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
     4501    0.002    0.000    0.002    0.000 {method 'remove' of 'list' objects}
      113    0.002    0.000    0.072    0.001 inspect.py:1655(getframeinfo)
      399    0.002    0.000    0.020    0.000 typing.py:1634(__getitem__)
     4681    0.002    0.000    0.002    0.000 inspect.py:298(ismodule)
      239    0.002    0.000    0.027    0.000 library.py:75(__init__)
     5069    0.002    0.000    0.002    0.000 typing.py:1799(<genexpr>)
     3887    0.002    0.000    0.002    0.000 inspect.py:386(isfunction)
      113    0.002    0.000    0.256    0.002 custom_ops.py:170(__init__)
     2370    0.002    0.000    0.007    0.000 typing.py:1122(_is_unpacked_typevartuple)
     1015    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:670(_check_name_wrapper)
     4329    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     7041    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
     1082    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:232(__init__)
     1059    0.002    0.000    0.020    0.000 inspect.py:988(getabsfile)
     2193    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
    10307    0.001    0.000    0.001    0.000 {built-in method _stat.S_ISLNK}
    11738    0.001    0.000    0.001    0.000 inspect.py:2775(name)
     5240    0.001    0.000    0.002    0.000 inspect.py:969(<genexpr>)
     4492    0.001    0.000    0.001    0.000 {built-in method _weakref._remove_dead_weakref}
     1607    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
       24    0.001    0.000    0.003    0.000 util.py:208(_collapse_string_to_ranges)
      239    0.001    0.000    0.001    0.000 {built-in method torch._C._dispatch_library}
      274    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
       63    0.001    0.000    0.002    0.000 __init__.py:1446(_clear_cache)
      653    0.001    0.000    0.008    0.000 linecache.py:47(checkcache)
      962    0.001    0.000    0.006    0.000 _ops.py:1040(_schemas)
     1100    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap>:416(__enter__)
7013/7011    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
   606/19    0.001    0.000    0.126    0.007 {built-in method builtins.__import__}
      293    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
      623    0.001    0.000    0.003    0.000 dataclasses.py:709(_is_type)
     1062    0.001    0.000    0.003    0.000 <frozen posixpath>:375(abspath)
     1279    0.001    0.000    0.001    0.000 enum.py:753(__delattr__)
    11531    0.001    0.000    0.001    0.000 inspect.py:2787(kind)
      490    0.001    0.000    0.002    0.000 _inspect.py:65(getargs)
      434    0.001    0.000    0.001    0.000 typing.py:3789(__getattr__)
1029/1001    0.001    0.000    0.003    0.000 typing.py:1773(__hash__)
    83/18    0.001    0.000    0.090    0.005 custom_ops.py:308(inner)
      673    0.001    0.000    0.006    0.000 inspect.py:1434(formatannotation)
     1567    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1496(_path_importer_cache)
     9582    0.001    0.000    0.001    0.000 _ops.py:868(name)
       18    0.001    0.000    0.060    0.003 utils.py:1(<module>)
     1079    0.001    0.000    0.221    0.000 <frozen importlib._bootstrap_external>:1547(find_spec)
2621/2183    0.001    0.000    0.003    0.000 typing.py:1443(__hash__)
     2057    0.001    0.000    0.010    0.000 typing.py:789(<genexpr>)
